NAME,IAU_ID,ALT_NAME,RA,DEC,PSG_TYPE_1,PSG_TYPE_2,CATEGORY_1,CATEGORY_2,MORPHTYPE,EGIS,EGIPS,REFERENCE,LINKS,PGC,RA_LEDA,DEC_LEDA,MORPHTYPE_LEDA,D25_LEDA,REDSHIFT_LEDA,NED_NAME,REDSHIFT_NED,J_MAG_NED,H_MAG_NED,Ks_MAG_NED,SGA_ID,RA_SGA,DEC_SGA,G_MAG_SB26_SGA,G_MAG_SB26_ERR_SGA,R_MAG_SB26_SGA,R_MAG_SB26_ERR_SGA,Z_MAG_SB26_SGA,Z_MAG_SB26_ERR_SGA,D26_SGA,D26_REF,PHDEP_G,PHDEP_R,PHDEP_I,PHDEP_Z,PHDEP_GR,PHDEP_ALL,G_MAG_ASYM_IRAF,G_MAG_ASYM_ERR_IRAF,G_MAG_SB26_IRAF,R26_G_IRAF,R26_G_ERR_IRAF,G_MAG_OUTER_IRAF,R_G_IRAF,R_MAG_ASYM_IRAF,R_MAG_ASYM_ERR_IRAF,R_MAG_SB26_IRAF,R26_R_IRAF,R26_R_ERR_IRAF,R_MAG_OUTER_IRAF,R_R_IRAF,I_MAG_ASYM_IRAF,I_MAG_ASYM_ERR_IRAF,I_MAG_SB26_IRAF,R26_I_IRAF,R26_I_ERR_IRAF,I_MAG_OUTER_IRAF,R_I_IRAF,Z_MAG_ASYM_IRAF,Z_MAG_ASYM_ERR_IRAF,Z_MAG_SB26_IRAF,R26_Z_IRAF,R26_Z_ERR_IRAF,Z_MAG_OUTER_IRAF,R_Z_IRAF,PA_SB26_GR,SMA_SB26_GR,SMB_SB26_GR,G_MAG_SB26_GR,R_MAG_SB26_GR,I_MAG_SB26_GR,Z_MAG_SB26_GR,W1_MAG_IRSA,W1_MAG_ERR_IRSA,W2_MAG_IRSA,W2_MAG_ERR_IRSA,W3_MAG_IRSA,W3_MAG_ERR_IRSA,W4_MAG_IRSA,W4_MAG_ERR_IRSA,A_G,A_R,A_I,A_Z,A_J,A_H,A_Ks,SDSS_SPEC_REDSHIFT,DR10_SPEC_REDSHIFT,DR10_PHOT_REDSHIFT,DR10_PHOT_REDSHIFT_I,DR9_PHOT_REDSHIFT,REDSHIFT,REDSHIFT_SOURCE,DA,SCALE,DL,KCOR_G,KCOR_R,KCOR_I,KCOR_Z,KCOR_J,KCOR_H,KCOR_Ks,KCOR_W1,KCOR_W2,KCOR_W3,KCOR_W4,M_G,M_R,M_I,M_Z,M_J,M_H,M_Ks,M_W1,M_W2,M_W3,M_W4,PHYS_SMA_SB26,LOGMSTAR_WISE,LOGSFR_WISE
,,,deg,deg,,,,,,,,,,,deg,deg,,arcmin,,,,mag,mag,mag,,deg,deg,mag,mag,mag,mag,mag,mag,arcmin,,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,deg,arcmin,arcmin,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,,,,,,,Mpc,kpc/arcsec,Mpc,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,kpc,dex (log10 Msun),dex (log10 Msun/yr)
PGC170579,J000458.70-061037.8,PGC170579,1.2445866,-6.1771741,PB,,Polar_Tilted Bulges,,S,,EGIPS J000458.6-061037,,,170579,1.2446250,-6.1773056,,0.7244,,,,,,,81104,1.2446130,-6.1771654,16.759,0.016,15.901,0.018,15.205,0.020,1.0050,SB26,29.334,28.913,28.149,27.777,29.457,28.969,16.859,0.022,16.938,0.3485,0.0364,16.843,0.9170,16.0300,0.0150,16.0670,0.3646,0.0271,16.0210,0.9170,15.609,0.019,15.638,0.3761,0.0529,15.603,0.9170,15.306,0.020,15.327,0.3918,0.0634,15.302,0.9170,91.62,0.3675,0.1240,16.913,16.060,15.640,15.333,13.222,0.028,13.124,0.036,10.031,0.069,7.774,,0.130,0.085,0.062,0.046,0.028,0.018,0.012,,,0.038906,0.043819,0.040642,0.043819,DR10_PHOT_REDSHIFT_I,184.77,0.896,201.32,0.093,0.043,0.035,0.016,,,,0.000,0.000,0.000,0.000,-19.804,-20.580,-20.978,-21.254,,,,-23.297,-23.395,-26.488,-28.745,19.60,10.246,0.269
PGC097494,J000523.37-081012.6,PGC097494,1.3473560,-8.1701562,PDL,,Polar_Tilted Dust Lanes,,S,,,,,97494,1.3472910,-8.1700556,,0.5333,0.030299,WISEA J000523.36-081012.5,0.030351,13.032,12.276,11.929,322506,1.3473334,-8.1701404,15.813,0.007,14.959,0.012,14.311,0.010,0.7523,SB26,28.976,27.791,27.779,27.753,28.499,28.671,15.756,0.030,15.815,0.3335,0.0204,15.744,0.9446,14.8960,0.0380,14.9260,0.4102,0.0516,14.8890,0.9446,14.516,0.028,14.539,0.4139,0.0569,14.506,0.9446,14.228,0.024,14.253,0.4355,0.0411,14.210,0.9446,109.45,0.3780,0.3426,15.794,14.931,14.549,14.268,11.69,0.022,10.17,0.02,6.374,0.016,3.609,0.02,0.107,0.070,0.051,0.038,0.023,0.015,0.010,,,0.040911,0.045864,0.039545,0.030351,REDSHIFT_NED,130.08,0.631,138.09,0.057,0.030,0.028,0.014,-0.020,-0.021,-0.047,0.000,0.000,0.000,0.000,-20.050,-20.875,-21.241,-21.500,-22.672,-23.419,-23.735,-24.011,-25.531,-29.327,-32.092,15.53,10.049,1.494
PGC1549687,J000650.11+180457.8,PGC1549687,1.7088125,18.0827182,PR,,Face-on Polar_Tilted Rings,,S0,,,,,1549687,1.7087505,18.0827222,,0.3981,,WISEA J000650.11+180457.7,0.038616,12.874,12.32,11.949,1315129,1.7088169,18.0827157,15.566,0.010,14.711,0.010,14.077,0.010,0.9268,SB26,29.047,28.369,,27.562,28.977,28.613,15.407,0.034,15.489,0.5289,0.0177,15.354,1.5612,14.5020,0.0310,14.5770,0.6765,0.0354,14.5070,1.5612,,,,,,,,13.895,0.037,13.922,0.8230,0.0693,13.900,1.5612,18.33,0.6358,0.3792,15.447,14.596,,13.973,12.168,0.023,12.232,0.024,11.753,0.275,8.281,,0.123,0.081,0.059,0.044,0.027,0.017,0.012,,,0.029441,,0.030059,0.038616,REDSHIFT_NED,163.86,0.794,176.76,0.080,0.038,,0.014,-0.034,-0.042,-0.056,0.000,0.000,0.000,0.000,-20.951,-21.779,,-22.373,-23.356,-23.892,-24.244,-24.069,-24.005,-24.484,-27.956,32.23,10.609,-0.020
PGC101551,J000705.89-412305.3,PGC101551,1.7745286,-41.3848137,PTS,PTS,Forming Polar_Tilted Rings,Polar_Tilted Tidal Structures,S,,,,,101551,1.7742915,-41.3847778,,0.6095,0.045865,LCRS B000433.2-413946,0.045865,14.632,14.181,14.235,522839,1.7745305,-41.3848405,16.780,0.023,16.147,0.026,15.677,0.031,0.7460,SB26,30.528,28.881,28.680,27.657,29.602,29.020,16.388,0.029,16.546,0.4956,0.0121,16.093,1.3075,15.6050,0.0650,15.9530,0.5196,0.0237,15.6450,1.3075,15.513,0.064,15.552,0.6329,0.0218,15.276,1.3075,15.203,0.119,15.412,0.7520,0.1312,15.248,1.3075,0.97,0.5247,0.2874,16.481,15.927,15.663,15.480,13.728,0.026,13.558,0.031,9.744,0.049,7.185,0.114,0.058,0.038,0.027,0.021,0.013,0.008,0.005,,,0.046037,0.053118,0.052305,0.045865,REDSHIFT_NED,192.93,0.935,211.03,0.053,0.037,-0.005,0.003,-0.047,-0.062,-0.135,0.000,0.000,0.000,0.000,-20.187,-20.744,-21.092,-21.234,-21.956,-22.387,-22.257,-22.894,-23.064,-26.878,-29.437,29.15,10.060,0.522
PGC1342413,J000741.09+081405.7,PGC1342413,1.9212251,8.2349156,PR,,Polar_Tilted Rings,,S,,,,,1342413,1.9212495,8.2348056,,0.5888,0.035294,,,,,,443182,1.9212260,8.2349132,15.715,0.006,14.715,0.007,13.941,0.006,1.0083,SB26,29.033,28.359,,27.649,28.964,28.665,15.612,0.034,15.729,0.4513,0.0525,15.606,1.4287,14.6440,0.0250,14.6830,0.6156,0.0480,14.6150,1.4287,,,,,,,,13.870,0.024,13.900,0.7040,0.0851,13.855,1.4287,178.82,0.5769,0.3413,15.632,14.641,,13.876,11.97,0.023,12.018,0.022,11.55,0.221,8.881,,0.561,0.369,0.268,0.201,0.123,0.076,0.053,,,0.032054,,0.031759,0.035294,REDSHIFT_LEDA,150.36,0.729,161.16,0.071,0.035,,0.014,,,,0.000,0.000,0.000,0.000,-20.939,-21.757,,-22.351,,,,-24.066,-24.018,-24.486,-27.155,26.93,10.603,-0.313
PGC1969546,J000741.22+315313.0,PGC1969546,1.9217497,31.8869493,PR,,Polar_Tilted Rings,,S,,EGIPS J000741.2+315313,,,1969546,1.9218255,31.8867919,,0.5888,0.045665,2MFGC 00109,0.054410,13.265,12.438,11.976,704357,1.9217835,31.8869463,16.063,0.029,15.082,0.029,14.300,0.029,1.1780,SB26,28.957,28.614,,27.204,29.121,28.343,16.254,0.015,16.311,0.4509,0.0210,16.243,1.0950,15.3520,0.0100,15.3780,0.5589,0.0334,15.3380,1.0950,,,,,,,,14.640,0.017,14.647,0.6448,0.2069,14.619,1.0950,91.99,0.4492,0.1548,16.280,15.379,,14.665,12.065,0.023,11.733,0.022,8.056,0.021,5.783,0.041,0.151,0.099,0.072,0.054,0.033,0.020,0.014,,,0.038908,,0.040388,0.054410,REDSHIFT_NED,226.55,1.098,251.87,0.124,0.052,,0.018,-0.028,-0.014,-0.061,0.000,0.000,0.000,0.000,-20.970,-21.779,,-22.431,-23.746,-24.574,-24.983,-24.941,-25.273,-28.950,-31.223,36.82,10.824,1.176
PGC143306,J000745.48-394409.9,PGC143306,1.9394793,-39.7360853,PH,,Polar_Tilted Halos,,S0,,,,,143306,1.9395330,-39.7360667,,0.4808,0.044905,WISEA J000745.48-394409.9,0.044871,13.477,12.646,12.286,1077720,1.9394766,-39.7360895,15.939,0.008,15.072,0.012,14.478,0.019,0.8658,SB26,30.764,29.037,29.174,27.396,29.776,28.870,15.849,0.012,15.953,0.3461,0.0021,15.806,1.0021,15.0120,0.0250,15.0530,0.4538,0.0056,14.9830,1.0021,14.661,0.013,14.684,0.4959,0.0189,14.620,1.0021,14.376,0.048,14.418,0.5200,0.0939,14.380,1.0021,147.47,0.4114,0.3596,15.907,15.066,14.710,14.452,12.542,0.023,12.551,0.023,11.443,0.161,8.721,,0.042,0.027,0.020,0.015,0.009,0.006,0.004,,,0.054454,0.054506,0.053609,0.044871,REDSHIFT_NED,188.97,0.916,206.31,0.097,0.044,0.034,0.016,-0.025,-0.018,-0.069,0.000,0.000,0.000,0.000,-20.759,-21.591,-21.943,-22.186,-23.080,-23.915,-24.222,-24.031,-24.022,-25.130,-27.852,24.94,10.575,-0.058
PGC974415,J000754.83-104407.5,PGC974415,1.9784577,-10.7354149,PTS,,Polar_Tilted Tidal Structures,,S0,,,,,974415,1.9783935,-10.7353644,E?,0.3342,0.042634,,,,,,962054,1.9784562,-10.7354137,17.174,0.010,16.314,0.013,15.659,0.011,0.4706,SB26,29.080,28.215,28.160,27.526,28.865,28.755,17.071,0.036,17.175,0.2121,0.0036,17.037,0.6432,16.1970,0.0570,16.2820,0.2364,0.0230,16.1670,0.6432,15.848,0.026,15.884,0.2994,0.0306,15.810,0.6432,15.578,0.040,15.610,0.3499,0.0790,15.540,0.6432,132.51,0.2616,0.1774,17.120,16.269,15.877,15.635,13.441,0.025,13.393,0.036,11.54,0.245,8.262,,0.134,0.088,0.064,0.048,0.029,0.018,0.013,0.042632,0.042632,0.048826,0.050521,0.047813,0.042632,SDSS_SPEC_REDSHIFT,180.03,0.873,195.70,0.090,0.042,0.033,0.015,,,,0.000,0.000,0.000,0.000,-19.507,-20.306,-20.671,-20.911,,,,-23.017,-23.065,-24.918,-28.196,12.38,10.151,0.068
2MASXJ00080655+1345287,J000806.52+134528.8,2MASXJ00080655+1345287,2.0271619,13.7580018,PTS,,Polar_Tilted Tidal Structures,,S,,,,,3377292,2.0271750,13.7579978,S?,0.4406,0.037737,2MASX J00080655+1345287,0.037770,14.065,13.606,13.213,634290,2.0271749,13.7580179,15.896,0.017,15.456,0.020,15.175,0.014,0.5480,SB26,29.043,28.226,,27.322,28.857,28.393,15.795,0.023,15.847,0.3076,0.0343,15.790,0.8392,15.3600,0.0310,15.3980,0.3419,0.0554,15.3550,0.8392,,,,,,,,15.074,0.055,15.084,0.5262,0.1048,15.075,0.8392,107.33,0.3396,0.2410,15.832,15.397,,15.124,13.203,0.031,12.99,0.036,8.899,0.04,6.409,0.086,0.351,0.231,0.168,0.126,0.077,0.048,0.033,0.037770,0.037770,0.028413,,0.029063,0.037770,SDSS_SPEC_REDSHIFT,160.43,0.778,172.78,0.000,0.031,,-0.005,-0.040,-0.059,-0.052,0.000,0.000,0.000,0.000,-20.691,-21.051,,-21.224,-22.159,-22.570,-22.955,-22.984,-23.197,-27.288,-29.778,15.96,10.081,0.647
PGC000640,J000843.54-065949.0,PGC000640,2.1814141,-6.9969537,PTS,,Polar_Tilted Tidal Structures,,S,,,,,640,2.1813345,-6.9970159,S0-a,0.9795,0.027796,MCG -01-01-037,0.027796,11.334,10.627,10.319,674309,2.1814236,-6.9969670,14.189,0.006,13.347,0.007,12.673,0.006,1.5947,SB26,29.058,28.351,27.544,27.392,28.969,28.469,14.106,0.024,14.181,0.6868,0.0137,14.077,2.1610,13.2770,0.0200,13.3110,0.9472,0.0426,13.2500,2.1610,14.773,0.178,14.909,1.0107,0.1443,14.775,2.1610,12.588,0.025,12.613,1.1292,0.1311,12.581,2.1610,2.40,0.8738,0.6495,14.150,13.317,14.946,12.642,10.826,0.023,10.804,0.021,8.507,0.025,6.971,0.107,0.111,0.073,0.053,0.040,0.024,0.015,0.010,,,0.029340,,0.028547,0.027796,REDSHIFT_NED,119.50,0.579,126.23,0.051,0.028,-0.109,0.013,-0.020,-0.023,-0.050,0.000,0.000,0.000,0.000,-21.487,-22.296,-20.541,-22.946,-24.176,-24.871,-25.147,-24.680,-24.702,-26.999,-28.535,32.91,10.825,0.192
PGC3099131,J000911.58-003654.7,PGC3099131,2.2982502,-0.6151925,PR,PH,Polar_Tilted Rings,Polar_Tilted Halos,S0,,,Moiseev et al. (2011),https://ui.adsabs.harvard.edu/#abs/2011MNRAS.418..244M/abstract,3099131,2.2982100,-0.6151916,E?,0.4150,0.073332,,,,,,304254,2.2982807,-0.6152007,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,LEDA,30.299,28.838,28.095,27.682,29.547,28.918,16.584,0.013,16.674,0.3427,0.0044,16.542,0.8392,15.6640,0.0170,15.6820,0.5109,0.0176,15.6200,0.8392,15.312,0.022,15.271,0.6758,0.0265,15.250,0.8392,15.002,0.025,14.975,0.6725,0.0364,14.955,0.8392,169.62,0.3374,0.2993,16.620,15.682,15.275,14.978,11.884,0.022,10.794,0.022,7.571,0.025,4.172,0.053,0.172,0.113,0.082,0.062,0.038,0.023,0.016,0.073332,,0.061627,0.071202,0.061835,0.073332,SDSS_SPEC_REDSHIFT,298.56,1.447,343.95,0.177,0.068,0.042,0.018,,,,0.000,0.000,0.000,0.000,-21.357,-22.181,-22.535,-22.787,,,,-25.798,-26.888,-30.111,-33.510,44.36,10.910,2.013
PGC1377467,J000912.85+101750.5,PGC1377467,2.3035286,10.2973620,PTS,,Polar_Tilted Tidal Structures,,S0,,EGIPS J000912.8+101750,,,1377467,2.3033340,10.2972500,,0.5888,,2MASX J00091280+1017501,0.029708,12.928,12.123,11.886,1415399,2.3035231,10.2973724,15.613,0.018,14.673,0.021,13.957,0.019,1.1743,SB26,29.037,28.331,,27.117,28.952,28.234,15.797,0.011,15.849,0.3752,0.0025,15.789,0.8903,14.8490,0.0100,14.8810,0.3950,0.0448,14.8440,0.8903,,,,,,,,14.138,0.015,14.152,0.4470,0.0869,14.136,0.8903,22.27,0.3663,0.1961,15.823,14.875,,14.164,12.406,0.028,12.461,0.028,11.063,0.178,7.863,,0.301,0.198,0.143,0.108,0.066,0.041,0.028,,,0.036192,,0.036443,0.029708,REDSHIFT_NED,127.42,0.618,135.11,0.055,0.029,,0.014,-0.019,-0.020,-0.068,0.000,0.000,0.000,0.000,-20.160,-20.999,,-21.623,-22.772,-23.551,-23.727,-23.247,-23.192,-24.590,-27.790,14.65,10.277,-0.081
PGC1246567,J000939.46+030951.2,PGC1246567,2.4144199,3.1642197,PTS,PTS,Forming Polar_Tilted Rings,Polar_Tilted Tidal Structures,S,,,,,1246567,2.4142845,3.1642299,,0.3631,0.103614,,,,,,541978,2.4144184,3.1642114,17.282,0.038,16.252,0.043,15.527,0.050,0.6424,SB26,29.256,28.866,28.202,27.674,29.406,28.937,17.582,0.033,17.714,0.2133,0.0012,17.572,0.5387,16.5730,0.0200,16.6300,0.2710,0.0129,16.5710,0.5387,16.129,0.025,16.183,0.2918,0.0141,16.126,0.5387,15.825,0.047,15.863,0.2768,0.0343,15.812,0.5387,38.84,0.2192,0.1490,17.650,16.647,16.207,15.889,13.477,0.031,13.303,0.038,11.301,0.248,8.092,,0.077,0.050,0.037,0.027,0.017,0.010,0.007,0.103637,0.103637,0.094577,0.091406,0.109053,0.103637,SDSS_SPEC_REDSHIFT,407.28,1.975,496.07,0.272,0.095,0.055,0.024,,,,0.000,0.000,0.000,0.000,-21.113,-21.993,-22.387,-22.666,,,,-25.001,-25.175,-27.177,-30.386,32.11,10.901,0.869
SDSSJ001021.69+004235.9,J001021.69+004235.8,SDSSJ001021.69+004235.9,2.5903661,0.7099515,PR,,Polar_Tilted Rings,,S,,,Mosenkov et al. (2024),https://ui.adsabs.harvard.edu/#abs/2024A%26A...681L..15M/abstract,,2.5903200,0.7098900,,,0.289763,WISEA J001021.67+004235.6,0.289763,15.549,14.155,13.865,,,,,,,,,,,,30.258,29.022,28.190,27.756,29.681,29.011,18.850,0.058,19.208,0.1065,0.0007,18.857,0.4128,17.5690,0.0580,17.7040,0.1853,0.0071,17.5580,0.4128,17.113,0.072,17.198,0.2081,0.0248,17.109,0.4128,16.818,0.078,16.886,0.2162,0.0314,16.821,0.4128,177.15,0.1689,0.1292,19.035,17.730,17.256,16.963,14.081,0.028,13.776,0.04,12.058,0.453,8.854,,0.083,0.055,0.040,0.030,0.018,0.011,0.008,0.289817,,0.288732,0.284123,0.266450,0.289817,SDSS_SPEC_REDSHIFT,928.59,4.502,1544.83,0.870,0.244,0.119,0.077,0.095,0.174,-0.470,0.000,0.000,0.000,0.000,-22.689,-23.539,-23.905,-24.165,-25.508,-26.974,-26.617,-26.863,-27.168,-28.886,-32.090,50.05,11.602,1.493
PGC073275,J001127.86+274725.9,PGC073275,2.8660646,27.7905400,PB,,Polar_Tilted Bulges,,S,,EGIPS J001127.8+274725,,,73275,2.8660005,27.7903194,Sb,0.7112,0.024668,KUG 0008+275,0.024694,13.386,12.729,12.237,600714,2.8660922,27.7904575,16.033,0.013,15.251,0.015,14.563,0.016,1.2283,SB26,28.994,28.146,,27.324,28.794,28.387,16.070,0.019,16.119,0.4167,0.0292,16.063,1.0321,15.3470,0.0210,15.3720,0.4170,0.0894,15.3510,1.0321,,,,,,,,14.720,0.019,14.733,0.4458,0.0975,14.722,1.0321,35.78,0.4238,0.1753,16.103,15.369,,14.737,12.11,0.023,12.029,0.022,8.233,0.023,6.559,0.066,0.157,0.103,0.075,0.056,0.034,0.021,0.015,,,0.032853,,0.031507,0.024694,REDSHIFT_NED,106.56,0.517,111.89,0.041,0.026,,0.010,-0.019,-0.024,-0.015,0.000,0.000,0.000,0.000,-19.323,-20.001,,-20.577,-21.873,-22.512,-23.007,-23.134,-23.215,-27.011,-28.685,12.94,10.186,0.247
2MASXJ00114797+0050047,J001147.97+005004.9,2MASXJ00114797+0050047,2.9498626,0.8347066,PTS,,Polar_Tilted Tidal Structures,,S0-a,,,Mosenkov et al. (2024),https://ui.adsabs.harvard.edu/#abs/2024A%26A...681L..15M/abstract,,2.9498000,0.8346900,,,0.064669,WISEA J001147.95+005004.8,0.064669,14.259,13.524,13.258,,,,,,,,,,,,30.234,28.905,28.034,27.698,29.571,28.923,17.289,0.025,17.417,0.1751,0.0034,17.244,0.5387,16.3360,0.0320,16.4130,0.2368,0.0341,16.3340,0.5387,15.918,0.046,15.973,0.2568,0.0309,15.924,0.5387,15.606,0.051,15.636,0.2701,0.0321,15.591,0.5387,140.69,0.2205,0.1804,17.370,16.421,15.997,15.671,12.87,0.024,12.648,0.026,9.102,0.034,7.538,0.195,0.098,0.064,0.047,0.035,0.021,0.013,0.009,0.064669,0.064669,0.090648,0.110913,0.092515,0.064669,SDSS_SPEC_REDSHIFT,266.00,1.290,301.51,0.158,0.062,0.046,0.020,-0.035,-0.018,-0.130,0.000,0.000,0.000,0.000,-20.236,-21.110,-21.517,-21.816,-23.124,-23.868,-24.018,-24.527,-24.749,-28.295,-29.859,18.33,10.696,0.676
PGC1809915,J001208.43+272953.0,PGC1809915,3.0351307,27.4980689,PTS,,Polar_Tilted Tidal Structures,,S,,,,,1809915,3.0351015,27.4980752,,0.3890,0.092973,,,,,,94482,3.0351176,27.4980551,17.304,0.030,16.298,0.032,15.464,0.031,0.6757,SB26,29.161,28.284,,27.460,28.937,28.519,17.322,0.033,17.470,0.2358,0.0111,17.287,0.7028,16.3820,0.0320,16.4090,0.4056,0.0445,16.3370,0.7028,,,,,,,,15.587,0.033,15.574,0.5083,0.0451,15.558,0.7028,2.19,0.2847,0.1774,17.353,16.401,,15.611,13.18,0.037,12.89,0.04,9.321,0.054,7.285,0.2,0.145,0.096,0.069,0.052,0.032,0.020,0.014,0.092970,0.092970,0.079603,,0.075902,0.092970,SDSS_SPEC_REDSHIFT,369.91,1.793,441.89,0.227,0.081,,0.022,,,,0.000,0.000,0.000,0.000,-21.129,-21.995,,-22.727,,,,-25.047,-25.337,-28.906,-30.942,43.63,10.880,1.073
PGC720608,J001212.97-300955.0,PGC720608,3.0540604,-30.1652743,PTS,,Polar_Tilted Tidal Structures,,S,,,,,720608,3.0539580,-30.1652778,,0.3981,0.031202,,,,,,695319,3.0540558,-30.1652800,16.144,0.009,15.640,0.011,15.322,0.015,0.4939,SB26,29.158,28.716,27.850,27.863,29.272,28.887,16.063,0.029,16.128,0.2451,0.0223,16.031,0.8392,15.5600,0.0250,15.5990,0.3413,0.0056,15.5290,0.8392,15.394,0.046,15.437,0.3048,0.0434,15.392,0.8392,15.230,0.040,15.262,0.3590,0.0422,15.216,0.8392,148.17,0.3359,0.2171,16.095,15.596,15.430,15.271,13.118,0.027,12.896,0.029,8.974,0.033,6.758,0.12,0.044,0.029,0.021,0.016,0.010,0.006,0.004,,,0.039174,0.042800,0.036982,0.031202,REDSHIFT_LEDA,133.59,0.648,142.05,0.028,0.029,-0.010,0.003,,,,0.000,0.000,0.000,0.000,-19.706,-20.221,-20.336,-20.519,,,,-22.644,-22.866,-26.788,-29.004,13.27,9.942,0.364
PGC107720,J001222.02-444945.8,PGC107720,3.0917604,-44.8293797,PTS,,Polar_Tilted Tidal Structures,,S,,,,,107720,3.0916665,-44.8293194,,0.5741,0.042276,LCRS B000951.3-450627,0.042296,13.492,13.148,12.663,1043739,3.0917337,-44.8293741,15.777,0.006,15.155,0.006,14.740,0.006,0.7498,SB26,29.739,28.915,28.305,27.723,29.527,28.994,15.649,0.016,15.738,0.3889,0.0023,15.610,1.0021,15.0460,0.0180,15.0980,0.4459,0.0062,15.0090,1.0021,14.801,0.024,14.849,0.4574,0.0263,14.768,1.0021,14.607,0.025,14.647,0.4778,0.0546,14.587,1.0021,40.93,0.4110,0.3227,15.712,15.103,14.862,14.661,12.885,0.032,12.775,0.034,9.044,0.039,7.26,0.147,0.035,0.023,0.017,0.013,0.008,0.005,0.003,,,0.040051,0.037955,0.042271,0.042296,REDSHIFT_NED,178.68,0.866,194.11,0.062,0.038,0.003,0.006,-0.049,-0.076,-0.036,0.000,0.000,0.000,0.000,-20.799,-21.403,-21.611,-21.812,-22.907,-23.221,-23.744,-23.555,-23.665,-27.396,-29.180,23.17,10.345,0.428
PGC143328,J001230.09-020521.8,PGC143328,3.1253542,-2.0893946,PTS,,Polar_Tilted Tidal Structures,,M,,,,,143328,3.1252710,-2.0895291,,0.3614,0.066212,WISEA J001230.10-020521.6,0.066209,13.265,12.794,12.313,984131,3.1253647,-2.0894392,16.460,0.012,15.526,0.015,14.818,0.018,0.8629,SB26,29.200,28.883,28.224,27.703,29.386,28.962,16.191,0.037,16.301,0.3637,0.0279,16.186,1.0631,15.3060,0.0240,15.3690,0.4476,0.0407,15.2990,1.0631,14.924,0.028,14.973,0.4660,0.0452,14.916,1.0631,14.654,0.034,14.685,0.5260,0.0613,14.653,1.0631,101.84,0.4280,0.2994,16.261,15.378,14.989,14.713,12.86,0.024,12.816,0.03,10.92,0.146,8.499,,0.116,0.076,0.055,0.041,0.025,0.016,0.011,,,0.091008,0.088677,0.088775,0.066209,REDSHIFT_NED,271.84,1.318,309.02,0.154,0.061,0.038,0.017,-0.063,-0.068,-0.076,0.000,0.000,0.000,0.000,-21.419,-22.218,-22.570,-22.823,-24.147,-24.604,-25.072,-24.590,-24.634,-26.530,-28.951,35.40,10.781,0.344
UGC00119,J001303.00+142435.2,UGC00119,3.2625151,14.4097855,PH,PTS,Polar_Tilted Halos,Polar_Tilted Tidal Structures,S,,,Moiseev et al. (2011),https://ui.adsabs.harvard.edu/#abs/2011MNRAS.418..244M/abstract,878,3.2626920,14.4095171,S?,0.9397,0.006753,UGC 00119,0.006778,12.512,11.93,11.7,616628,3.2625151,14.4097855,14.362,0.007,13.882,0.007,13.533,0.006,1.6970,SB26,28.818,28.162,,27.323,28.765,28.364,14.179,0.012,14.206,0.7138,0.1148,14.185,1.8099,13.7220,0.0130,13.7400,0.7774,0.1405,13.7280,1.8099,,,,,,,,13.390,0.017,13.402,0.7942,0.1624,13.409,1.8099,179.12,0.7293,0.4580,14.194,13.743,,13.410,12.431,0.023,12.361,0.025,9.093,0.034,6.558,0.071,0.138,0.091,0.066,0.050,0.030,0.019,0.013,0.006704,,0.005376,,0.006153,0.006704,SDSS_SPEC_REDSHIFT,29.57,0.143,29.97,0.001,0.008,,0.002,-0.006,-0.010,-0.016,0.000,0.000,0.000,0.000,-18.316,-18.742,,-19.033,-19.895,-20.462,-20.680,-19.952,-20.022,-23.290,-25.825,6.67,8.917,-0.800
PGC132742,J001307.55-310040.5,PGC132742,3.2814541,-31.0112507,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,M,,,,,132742,3.2812695,-31.0111480,E,0.6252,0.062111,GALEXASC J001307.51-310040.2,,,,,168993,3.2814561,-31.0112532,15.595,0.006,14.716,0.008,14.124,0.008,0.9767,SB26,29.480,28.895,28.195,28.181,29.483,29.214,15.520,0.021,15.614,0.4072,0.0502,15.514,1.0950,14.6680,0.0170,14.7070,0.4682,0.0233,14.6610,1.0950,14.308,0.022,14.344,0.5151,0.0371,14.309,1.0950,14.053,0.018,14.089,0.5058,0.0271,14.054,1.0950,68.34,0.4486,0.3815,15.583,14.717,14.362,14.112,12.162,0.023,12.167,0.023,11.564,0.238,8.445,,0.041,0.027,0.020,0.015,0.009,0.006,0.004,,,0.060305,0.059605,0.059226,0.062111,REDSHIFT_LEDA,256.25,1.242,289.07,0.145,0.058,0.037,0.016,,,,0.000,0.000,0.000,0.000,-21.877,-22.683,-23.018,-23.247,,,,-25.143,-25.138,-25.741,-28.860,34.89,11.019,0.311
